Adoszam,Cegnev,ir.szam,Szekhely,TEÁOR,Tevekenyseg,e-mail,net_arbevetele,eredmeny,Tulajdonos,Helyseg,Jogallas,Varmegye,Terulet_hektar,Nepesseg,Lakasok_szama,bolgár  ,görög  ,horvát  ,lengyel  ,német  ,örmény  ,roma,román  ,ruszin  ,szerb  ,szlovák  ,szlovén  ,ukrán  
10955004-2-44,CHS Hungary Kft,2040,Budaörs,4650'25,"Információtechnológiai, híradástechnikai termék nagykereskedelme",chs@chs.hu,88700485,1344305,"CHS Holding Vagyonkezelő Korlátolt Felelősségű Társaság,Németh Tibor János",Budaörs,város,Pest,2359,29291,11393,,1,,,1,1,1,1,,1,,,
10687404-2-15,CARL ZEISS VISION HUNGARY Kft.,4700,Mátészalka,2670'25,"Optikai eszköz, mágneses, optikai adathordozó, fényképészeti berendezés gyártása",info.vision.hu@zeiss.com,23985208,1331461,Carl Zeiss Vision International GmbH,Mátészalka,város,Szabolcs-Szatmár-Bereg,4140,14848,7162,,,,,1,,1,1,,,,,
10529467-4-11,FIORÁCS Kft.,2941,Ács,0146'25,Sertéstenyésztés,info@fioracs.bonafarm.hu,18034622,1328254,"Bonafarm Zártkörűen Működő Részvénytársaság,Csányi Attila",Ács,város,Komárom-Esztergom,10385,6920,2791,,,,,,,1,,,,,,
12611621-2-13,ENERTECH Hungária Kft.,2440,Százhalombatta,2712'25,"Áramelosztó, -szabályozó készülék gyártása",enertech@enertech.hu,8717322,1325967,UVILL Kft,Százhalombatta,város,Pest,2806,18115,7841,,,,,,,,1,,1,,,
23407147-2-05,Cordys Capital Kft.,3526,Miskolc,6820'25,"Saját tulajdonú, bérelt ingatlan bérbeadása, üzemeltetése",zoltan.szamel@cordys.hu,2404354,1324580,Cordys Holding Vagyonkezelő Zártkörűen Működő Részvénytársaság,Miskolc,"megyeszékhely, megyei jogú város",Borsod-Abaúj-Zemplén,23667,141440,79234,1,1,,1,1,1,1,,1,,1,,1
25504680-2-10,Mubea Aerostructures Zrt.,3300,Eger,3031'25,"Polgári légi, űrjármű gyártása",info.eger@ruag.com,32585655,1316766,Mubea Aviation Holding GmbH,Eger,"megyeszékhely, megyei jogú város",Heves,9221,48686,27299,,,,1,,,1,,1,,,,
11262327-2-16,ELEKTRO KOD Kft.,5100,Jászberény,2712'25,"Áramelosztó, -szabályozó készülék gyártása",business@elektrokod.hu,6323441,1316622,Kuti Mihályné,Jászberény,város,Jász-Nagykun-Szolnok,22135,25323,12680,,,,,,,1,,,,,,
11110361-2-11,Sano-Modern Takarmányozás Kft.,2949,Csém,1091'25,Haszonállat-eledel gyártása,sano@sano.hu,14667774,1315313,SANO Holding GmbH,Csém,község,Komárom-Esztergom,628,408,153,,,,,,,,,,,,,
10682825-2-02,MATRO KFT,7631,Pécs,2553'25,Fémmegmunkálás,zoltan.kleisz@matro.hu,7709663,1308284,"Kleisz Zoltán,Kleisz József,Kleisz Józsefné,Kiss Szabolcs,Dr. Kleisz-Bális Eszter",Pécs,"megyeszékhely, megyei jogú város",Baranya,16278,139412,74470,1,1,1,1,1,1,1,1,1,1,,,1
10192207-2-08,VELUX Magyarország LKR Kft.,9431,Fertőd,1625'25,Fa nyílászáró gyártása,acc.lkr-h@velux.com,79609170,1302902,VELUX A/S,Fertőd,város,Győr-Moson-Sopron,4854,3409,1549,,,,,1,,,,,,,,
10008676-2-08,GYSEV Zrt.,9400,Sopron,4911'25,Távolsági vasúti személyszállítás,info@gysev.hu,34347092,1301079,"Republik Österreich képviseli a mindenkori Közlekedési Minisztérium Bundesministerium für Verkehr Innovation und Technologie,Osztrák Köztársaság,Magyar Állam képviseli Építési és Közlekedési Minisztérium,Magyar Állam",Sopron,megyei jogú város,Győr-Moson-Sopron,16904,60820,29825,,1,1,,1,,,,,,,,
10530728-2-13,ACIS COMPLEX Kft,2040,Budaörs,4324'25,Egyéb épületgépészeti szerelés,info@acis-complex.hu,15709956,1290700,ERKEVI Befektetői és Vagyonkezelői Korlátolt Felelősségű Társaság,Budaörs,város,Pest,2359,29291,11393,,1,,,1,1,1,1,,1,,,
26384650-2-06,H-Apartman Plusz Kft.,6726,Szeged,6820'25,"Saját tulajdonú, bérelt ingatlan bérbeadása, üzemeltetése",hapartmanplusz@gmail.com,2129463,1289234,H-Invest Team Plusz Korlátolt Felelősségű Társaság,Szeged,"megyeszékhely, megyei jogú város",Csongrád-Csanád,28100,157282,88894,1,1,,1,1,1,1,1,1,1,1,,1
26768843-2-05,SajóSolar Kft.,3704,Berente,3512'25,Villamosenergia-termelés megújuló forrásból,sajosolar@firstsolar.hu,2779729,1287091,"Solar Profit Befektetési Korlátolt Felelősségű Társaság,First Solar Villamosenergetikai Korlátolt Felelősségű Társaság",Berente,község,Borsod-Abaúj-Zemplén,922,1017,385,,,,,,,1,,,,,,
10569016-2-16,ZÖLD-KER Kft.,5000,Szolnok,4639'25,"Élelmiszer, ital, dohányáru vegyes nagykereskedelme",penzugy@zoldker.hu,29035680,1283385,"Erdős Gábor,Erdős Sándorné,Erdős Péter",Szolnok,"megyeszékhely, megyei jogú város",Jász-Nagykun-Szolnok,18724,65564,36006,,1,,1,,,1,,,,,,1
13499431-2-44,Central-Drinks Kft.,2045,Törökbálint,4639'25,"Élelmiszer, ital, dohányáru vegyes nagykereskedelme",drszilagyijanos@freemail.hu,57560157,1283011,"HETEN Ingatlanforgalmazó,Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság",Törökbálint,város,Pest,2941,14948,5406,,,,,1,,1,1,,,,,1
10935491-2-13,Viarent Kft.,2310,Szigetszentmiklós,7712'25,"Gépjárműkölcsönzés (3,5 tonna fölött)",marketing@viaberauto.hu,15718054,1280904,DELTA-TRUCK Járműjavító és Kereskedelmi Korlátolt Felelősségű Társaság,Szigetszentmiklós,város,Pest,4565,40132,16694,1,1,,,1,,1,1,1,,,,1
23198942-2-11,IKR Agrár Kft.,2943,Bábolna,4685'25,Vegyi áru nagykereskedelme,,148481629,1277928,"AGROFERT, a.s.",Bábolna,város,Komárom-Esztergom,3354,3424,1389,,,,,,,,,,,,,
24065443-2-08,HBPO Automotive Hungária Kft.,9027,Győr,2932'25,Egyéb gépjárműalkatrész és -tartozék gyártása,bernward.rogge@hbpogroup.com,57604127,1275090,HBPO GmbH,Győr,"megyeszékhely, megyei jogú város",Győr-Moson-Sopron,17456,129373,64528,1,1,1,1,1,1,1,1,1,,,,1
10581418-2-44,TCHIBO Budapest Kft.,2040,Budaörs,4637'25,"Kávé-, tea-, kakaó-, fűszer-nagykereskedelem",levelek@tchibo.hu,27212223,1272915,TCHIBO COFFEE NEDERLAND B.V.,Budaörs,város,Pest,2359,29291,11393,,1,,,1,1,1,1,,1,,,
11929389-4-43,HOLD Alapkezelő Zrt.,1123,Budapest,6630'25,Alapkezelés,kapcsolat@hold.hu,14279208,9542698,"LATOBO Consult Korlátolt Felelősségű Társaság,Investset Investor Korlátolt Felelősségű Társaság,HOLD HOLDING Zártkörűen Működő Részvénytársaság",Budapest,főváros ,Budapest,52511,1685209,973656,1,1,1,1,1,1,1,1,1,1,1,,1
10465802-2-44,UNIX AUTÓ Kft.,1139,Budapest,4672'25,Gépjárműalkatrész és -tartozék nagykereskedelme,cs@unixauto.com,107020674,9489848,Zombori Antal,Budapest,főváros ,Budapest,52511,1685209,973656,1,1,1,1,1,1,1,1,1,1,1,,1
12391763-4-44,OTP Faktoring Zrt.,1138,Budapest,6499'25,M.n.s. egyéb pénzügyi közvetítés,ugyfelszolgalat@otpfakt.hu,10221000,9456000,OTP Bank Nyrt.,Budapest,főváros ,Budapest,52511,1685209,973656,1,1,1,1,1,1,1,1,1,1,1,,1
12226483-2-41,MKK Zrt.,1138,Budapest,6499'25,M.n.s. egyéb pénzügyi közvetítés,mkkzrt@mkkzrt.hu,30449436,9416630,MFB Magyar Fejlesztési Bank Zártkörűen Működő Részvénytársaság,Budapest,főváros ,Budapest,52511,1685209,973656,1,1,1,1,1,1,1,1,1,1,1,,1
23444030-2-44,Lounge Event Kft.,1037,Budapest,8230'25,"Konferencia, kereskedelmi bemutató szervezése",loungeevent@lounge.hu,93868348,9385462,Balásy Gyula,Budapest,főváros ,Budapest,52511,1685209,973656,1,1,1,1,1,1,1,1,1,1,1,,1
12089675-2-44,KNORR-BREMSE Hungária Kft.,1238,Budapest,3020'25,"Vasúti, kötöttpályás jármű gyártása",,162195107,9257168,KNORR-Bremse Systeme für Schienenfahrzeuge GmbH,Budapest,főváros ,Budapest,52511,1685209,973656,1,1,1,1,1,1,1,1,1,1,1,,1
22996613-2-13,Invitone Kft.,2045,Törökbálint,4643'25,Elektromos háztartási cikk nagykereskedelme,info@invitone.hu,7820677,1270042,Shoreline s.r.o.,Törökbálint,város,Pest,2941,14948,5406,,,,,1,,1,1,,,,,1
24800880-4-44,Polgári Bank Zrt.,4090,Polgár,6419'25,Egyéb monetáris közvetítés,titkarsag@polgaribank.hu,6748009,1268837,"MagNet Magyar Közösségi Bank Zrt.,Béke Lászlóné,Kiss Károly,Lukácsné Ujj Zsuzsanna",Polgár,város,Hajdú-Bihar,9745,7806,3422,,,,,,,1,,,,,,
10235849-2-06,NATURTEX Kft,6728,Szeged,1392'25,Háztartási textília és konfekcionált textiláru gyártása,info@naturtex.hu,10878835,1265289,"Gellért és Fiai Consulting Szolgáltató Korlátolt Felelősségű Társaság,GELLÉRT Vagyonkezelő Alapítvány",Szeged,"megyeszékhely, megyei jogú város",Csongrád-Csanád,28100,157282,88894,1,1,,1,1,1,1,1,1,1,1,,1
13918969-2-06,PATIKA CONTACT Kft.,6728,Szeged,4646'25,"Gyógyszer, gyógyászati termék nagykereskedelme",,6656435,1263705,JUHAR '96 Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,Szeged,"megyeszékhely, megyei jogú város",Csongrád-Csanád,28100,157282,88894,1,1,,1,1,1,1,1,1,1,1,,1
11866921-2-44,TRUMPF Hungary Kft.,2100,Gödöllő,4662'25,Szerszámgép-nagykereskedelem,info@hu.trumpf.com,19807178,1261328,TRUMPF International Beteiligungs-SE,Gödöllő,város,Pest,6193,32410,13676,,,,1,1,,1,,,,,,
25076178-2-13,Dymex Supply Kft.,2131,Göd,4686'25,Egyéb termelési célú termék nagykereskedelme,zsolt.markus@jemefy.vom,5797706,1258414,"Jemefy Technologies Korlátolt Felelősségű Társaság,Hegyesi Ferenc",Göd,város,Pest,2444,21838,8258,,,,,,,1,,,,,,
12031304-2-13,NASZÁLYTEJ zrt.,2600,Vác,1051'25,Tejfeldolgozás,naszalytej@naszalytej.hu,38592274,1257805,"Jászapáti 2000. Mezőgazdasági Zártkörű Részvénytársaság,KKE-WEST Kereskedelmi Korlátolt Felelősségű Társaság,Szatmári Zoltán Károly,GEORGIKA Termelő, Feldolgozó és Értékesitő Szövetkezet",Vác,város,Pest,6160,33871,15985,,1,,,,,1,1,1,,1,,1
12090503-4-13,MEDI-RADIOPHARMA Kft.,2030,Érd,2120'25,Gyógyszerkészítmény gyártása,info@mediradiopharma.hu,4846878,1255671,"Jánoki Gergely,dr. Jánoki Győző Aladár",Érd,megyei jogú város,Pest,6331,71495,26643,,1,1,1,1,1,1,,1,1,,,1
27033498-2-44,Shopper Park Plus Nyrt.,1015,Budapest,6811'25,Saját tulajdonú ingatlan adásvétele,,7508346,9246441,"Penta CEE Holding Zártkörűen Működő Részvénytársaság,PortfoLion Partner Magántőkealap,VIG Befektetési Alapkezelő Magyarország Zrt. (7 db kezelt entitáson keresztül),OTP Alapkezelő Zrt. (11 db kezelt entitáson keresztül),Adventum Penta Co-Investment SCSp (A Penta CEE Holding Zrt. és az Adventum Penta Co-Investment SCSp,Egyéb részvényesek (Shopper Park Plus Nyrt.)",Budapest,főváros ,Budapest,52511,1685209,973656,1,1,1,1,1,1,1,1,1,1,1,,1
24670827-2-44,New Land Media Kft.,1025,Budapest,7312'25,Médiareklám,gyula.balasy@lounge.hu,84813097,8978879,Balásy Gyula,Budapest,főváros ,Budapest,52511,1685209,973656,1,1,1,1,1,1,1,1,1,1,1,,1
12543317-2-44,Magyar Földgáztároló Zrt.,1138,Budapest,5210'25,"Raktározás, tárolás",,40506000,8922000,MVM Energetika Zártkörűen Működő Részvénytársaság,Budapest,főváros ,Budapest,52511,1685209,973656,1,1,1,1,1,1,1,1,1,1,1,,1
10604416-2-41,Affidea Magyarország Kft.,1138,Budapest,8622'25,Szakorvosi járóbeteg-ellátás,info@affidea.hu,10502093,8873502,Affidea Diagnostics B.V.,Budapest,főváros ,Budapest,52511,1685209,973656,1,1,1,1,1,1,1,1,1,1,1,,1
10624500-2-44,Progress Étteremhálózat Kft.,1027,Budapest,5611'25,Éttermi vendéglátás,info@hu.mcd.com,104942754,8763750,Leones QSR Vagyonkezelő és Tanácsadó Korlátolt Felelősségű Társaság,Budapest,főváros ,Budapest,52511,1685209,973656,1,1,1,1,1,1,1,1,1,1,1,,1
10790386-2-44,LG Electronics Magyar Kft.,1097,Budapest,4740'25,"Információs, híradástechnikai termék kiskereskedelme",kapcsolat@lge.com,178611883,8705602,LG Electronics European Holding BV,Budapest,főváros ,Budapest,52511,1685209,973656,1,1,1,1,1,1,1,1,1,1,1,,1
14292615-4-44,ALTEO Nyrt.,1117,Budapest,7112'25,"Mérnöki tevékenység, műszaki tanácsadás",info@alteo.hu,38619845,8680722,"MOL RES Investments Zártkörűen Működő Részvénytársaság, Riverland Magántőkealap és Főnix Magántőkealap,Egyéb részvényesek (ALTEO Nyrt.)",Budapest,főváros ,Budapest,52511,1685209,973656,1,1,1,1,1,1,1,1,1,1,1,,1
13445762-2-09,AQUA-GENERAL Kft.,4200,Hajdúszoboszló,4291'25,Vízi létesítmény építése,info@aquageneral.hu,6301558,1254521,Katona Imre,Hajdúszoboszló,város,Hajdú-Bihar,23862,23871,11976,,,,,1,,1,1,,,,,1
23341779-2-13,Illés Holding Zrt.,2040,Budaörs,5221'25,Szárazföldi szállítást kiegészítő szolgáltatás,titkarsag@illesholding.com,1634681,1254036,Illés Tamás,Budaörs,város,Pest,2359,29291,11393,,1,,,1,1,1,1,,1,,,
11822251-2-08,LENDINVEST Kft.,9028,Győr,2442'25,Alumíniumgyártás,info@lendinvest.hu,6900568,1251467,Lendvai Zsolt Ferenc,Győr,"megyeszékhely, megyei jogú város",Győr-Moson-Sopron,17456,129373,64528,1,1,1,1,1,1,1,1,1,,,,1
23024797-2-19,Developtest Kft,8200,Veszprém,2212'25,Egyéb gumitermék gyártása,developtestkft@gmail.com,2070273,1247639,Laczkó-Tóth Gergely Emil,Veszprém,"megyeszékhely, megyei jogú város",Veszprém,12692,55118,27698,,,,1,1,1,1,,,,,,1
11317245-2-18,TARAVIS Kft.,9600,Sárvár,1012'25,"Baromfihús feldolgozása, tartósítása",titkarsag@taravis.hu,43597020,1247392,"GALLUS Baromfitenyésztő és Keltető Korlátolt Felelősségű Társaság,TARAVIS PLUSZ Termelő Szolgáltató Kereskedelmi Korlátolt Felelősségű Társaság",Sárvár,város,Vas,6465,13919,7036,,,,,,,,,,,,,
24328180-2-08,ENVIEN Magyarország Kft.,9163,Fehértó,4621'25,"Gabona, feldolgozatlan dohány, vetőmag, takarmány nagykereskedelme",,29792263,1246878,Envien International Limited,Fehértó,község,Győr-Moson-Sopron,1138,472,224,,,,,,,,,,,,,
11356666-2-20,ZELT 2000 Kft.,8900,Zalaegerszeg,7739'25,"M.n.s. egyéb gép, tárgyi eszköz kölcsönzése",info@zelt.hu,1788940,1243895,Fekete Csaba,Zalaegerszeg,"megyeszékhely, megyei jogú város",Zala,10246,53960,27954,,,1,,1,,1,,,,,,
12487286-2-03,FBZ Hungária Kft.,6000,Kecskemét,4690'25,Vegyes termékkörű nagykereskedelem,baradacs@fbzinvest.hu,28017218,1240598,"Golub Márta,Baradács László Árpád",Kecskemét,"megyeszékhely, megyei jogú város",Bács-Kiskun,32257,108651,55648,1,,1,,1,1,1,,,,,,1
10302475-2-05,NEVEON Hungary Kft.,3792,Sajóbábony,2221'25,"Műanyag lap, lemez, fólia, cső, profil gyártása",hu.office@neveon.com,14442179,1238486,NEVEON Austria GmbH,Sajóbábony,város,Borsod-Abaúj-Zemplén,1343,2509,1082,,,,,,,1,,,,,,
29136683-2-09,KKVJ Cement Kft.,4030,Debrecen,4683'25,"Fa-, építőanyag-, szaniteráru-nagykereskedelem",info@kkvjcement.hu,18800551,1234998,SVR Cement Korlátolt Felelősségű Társaság,Debrecen,"megyeszékhely, megyei jogú város",Hajdú-Bihar,46166,202130,100621,1,1,,1,1,1,1,1,1,,,,1
24085984-2-44,AIRMAX Cargo Budapest Zrt.,2220,Vecsés,5226'25,"Egyéb, szállítást kiegészítő szolgáltatás",gabor@airmaxcargo.com,17581054,1234633,"Turu-Horváth Solutions Korlátolt Felelősségű Társaság,Egyéb részvényes (AIRMAX Cargo Budapest Zrt.)",Vecsés,város,Pest,3617,21379,8474,,,,,1,,1,1,,,,,1
12843583-2-44,Iberdrola Renovables Magyarország Kft.,1062,Budapest,3512'25,Villamosenergia-termelés megújuló forrásból,,15620629,8630804,Iberdrola Renovables Internacional S.A.U.,Budapest,főváros ,Budapest,52511,1685209,973656,1,1,1,1,1,1,1,1,1,1,1,,1
25538818-4-43,Tápió Szénhidrogén Koncessziós Kft.,1117,Budapest,0610'25,Kőolaj-kitermelés,tapio@mol.hu,27815306,8419256,MOL Magyar Olaj- és Gázipari Nyilvánosan Működő Részvénytársaság,Budapest,főváros ,Budapest,52511,1685209,973656,1,1,1,1,1,1,1,1,1,1,1,,1
12240193-2-03,EEBA Kft.,6000,Kecskemét,0146'25,Sertéstenyésztés,eeba@t-online.hu,2118960,1234099,"GAIA Termelő Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,Vidmann László",Kecskemét,"megyeszékhely, megyei jogú város",Bács-Kiskun,32257,108651,55648,1,,1,,1,1,1,,,,,,1
25562675-4-07,MASTERPLAST Hungária Kft.,8143,Sárszentmihály,4683'25,"Fa-, építőanyag-, szaniteráru-nagykereskedelem",masterplast@masterplast.hu,18135310,1224590,MASTERPLAST Nyilvánosan működő Részvénytársaság,Sárszentmihály,község,Fejér,3740,3004,1172,,,,,,,,,,,,,
12218620-2-03,Márka Üdítőgyártó Kft.,6055,Felsőlajos,1107'25,"Üdítőital, ásványvíz gyártása",info@markaudito.hu,25839545,1223481,"Pécskövi Tibor,Kindl Gábor,Pécskövi Gábor Zoltán",Felsőlajos,község,Bács-Kiskun,1141,1003,412,,,,,,,,,,,,,
27407541-2-13,NMV-Hungary Kft.,2049,Diósd,4619'25,Vegyes termékkörű ügynöki nagykereskedelem,godor.marcella@gmail.com,1936553,1223367,"AZ-Medical GmbH,Veszteg Zsolt,Veszteg Marcella",Diósd,város,Pest,575,11693,4383,,,,,1,,1,,,,,,
25148345-2-44,TotalEnergies Marketing Hungary Kft,2040,Budaörs,4681'25,"Üzem-, tüzelőanyag nagykereskedelme",rm.informacio@total.com,16079904,1222577,TotalEnergies Marketing Services S.A.S.,Budaörs,város,Pest,2359,29291,11393,,1,,,1,1,1,1,,1,,,
23498699-2-17,TESÓ KFT,7030,Paks,5224'25,Rakománykezelés,csabi.siklosi@gmail.com,1953602,1222331,"Siklósi Csaba,Siklósi Csaba,Siklósi Bence Attila",Paks,város,Tolna,15408,17873,8586,,,,,1,,1,,,,,,1
12622315-2-12,Hanon Systems Auto Parts Hungary Kft.,2651,Rétság,2453'25,Könnyűfémöntés,megyud@hanonsystems.com,12618295,1220179,Hanon Systems,Rétság,város,Nógrád,1987,2645,1167,,,,,,,1,,,,1,,
11653808-2-15,Nyíregyházi-Kenyérgyár Kft.,4400,Nyíregyháza,1071'25,Kenyér; friss pékáru gyártása,nykenyer@nykenyer.hu,8473961,1216023,"NYÍRSÉG-HASSO Sütőipari és Gabonaipari Korlátolt Felelősségű Társaság,Krámer Zoltán,Kovács Balázs,Molnárné Puskás Ágnes,Rudiné Bodnár Henriett,Puskás Brigitta,Puskás Attila,Ágoston Péter",Nyíregyháza,"megyeszékhely, megyei jogú város",Szabolcs-Szatmár-Bereg,27454,114873,54384,,1,,1,1,1,1,,1,,1,,1
11130307-2-08,ROTO ELZETT CERTA Kft.,9461,Lövő,2562'25,"Lakat-, zárgyártás",dr.abraham.laszlo@gmail.com,44140960,1211186,Roto Frank Fenster- und Türtechnologie GmbH,Lövő,község,Győr-Moson-Sopron,1747,1364,566,,,,,,,,,,,,,
11037338-2-03,STEELFLEX Kft.,6000,Kecskemét,2420'25,Acélcsőgyártás,,13686996,1208788,"TECHNIK-INVEST Vagyonkezelő és Kereskedelmi Korlátolt Felelősségű Társaság,Knott Holding GmbH,AUTÓFLEX-METÁL Kft.,BOSAL-NEDERLAND B.V.,KNEZEV GROUP D.O.O.,Ingolf Wilhelm Fritz Bollhorst,Matthias Johannes Kauder,Tóth József,Kósa János Sándor,Szabó Sándor,Ujhidy Anett,Ujhidy Anett,Ujhidy Eszter",Kecskemét,"megyeszékhely, megyei jogú város",Bács-Kiskun,32257,108651,55648,1,,1,,1,1,1,,,,,,1
12229132-2-44,BÁRDI AUTÓ ZRT.,1089,Budapest,4672'25,Gépjárműalkatrész és -tartozék nagykereskedelme,info@bardiauto.hu,88239333,8187207,"Bárdi István,Bárdi Viktor",Budapest,főváros ,Budapest,52511,1685209,973656,1,1,1,1,1,1,1,1,1,1,1,,1
26591870-2-41,Duna Terasz Grande Kft.,1138,Budapest,6811'25,Saját tulajdonú ingatlan adásvétele,info@dunaterasz.hu,54055380,8082532,"LOSTMPERI HOLDINGS LIMITED,ROMVAN INVESTMENTS LIMITED",Budapest,főváros ,Budapest,52511,1685209,973656,1,1,1,1,1,1,1,1,1,1,1,,1
11068996-2-05,LANAXIS KFT,3508,Miskolc,2511'25,Fémszerkezet gyártása,info@lanaxis.hu,2925799,1205736,Pető György,Miskolc,"megyeszékhely, megyei jogú város",Borsod-Abaúj-Zemplén,23667,141440,79234,1,1,,1,1,1,1,,1,,1,,1
14114113-2-08,UNAS Online Kft.,9400,Sopron,6310'25,"Számítástechnikai infrastruktúra, adatfeldolgozás, tárhelyszolgáltatás és kapcsolódó szolgáltatások",unas@unas.hu,1677369,1203242,"Kóczán Tamás,Kóczán Ákos",Sopron,megyei jogú város,Győr-Moson-Sopron,16904,60820,29825,,1,1,,1,,,,,,,,
25993918-2-14,Berzencei Erdőgazdálkodási Kft.,7516,Berzence,0210'25,"Erdészeti, egyéb erdőgazdálkodási tevékenység",kakszi.izsak@gmail.com,1287724,1201915,"Izsák Judit,Kakulya Zoltán",Berzence,nagyközség,Somogy,5376,2242,955,,,,,,,1,,,,,,
13124982-2-17,Vitafoam Magyarország Kft.,7030,Paks,2222'25,Műanyag csomagolóeszköz gyártása,monika.toth@thevitagroup.com,14201945,1198085,"Uzdaroji akcine bendrove ""VITA BALTIC INTERNATIONAL",Paks,város,Tolna,15408,17873,8586,,,,,1,,1,,,,,,1
12985894-2-11,Kayser Automotive Hungária Kft.,2900,Komárom,2226'25,Egyéb műanyag termék gyártása,cegadmin@kayser-automotive.com,24088777,1197083,A. Kayser Automotive Systems GmbH,Komárom,város,Komárom-Esztergom,6991,19862,8996,,,,,,,1,,,,,,
11221447-2-14,DEH MAGYARORSZÁG Kft.,7500,Nagyatád,1072'25,Tartósított lisztes áru gyártása,,5805809,1196185,Alexander Wilhelm Haselbach,Nagyatád,város,Somogy,7060,9218,4868,,,1,,,,1,,,,,,
10701489-2-09,RADEL & HAHN Zrt.,4028,Debrecen,4324'25,Egyéb épületgépészeti szerelés,tarj@radel-hahn.hu,10977295,1194896,Radel-Hahn Holding G.m.b.H.,Debrecen,"megyeszékhely, megyei jogú város",Hajdú-Bihar,46166,202130,100621,1,1,,1,1,1,1,1,1,,,,1
13653220-2-03,KERESZTES-MIZSE Kft.,6050,Lajosmizse,1012'25,"Baromfihús feldolgozása, tartósítása",keresztes@keresztesmizse.hu,5981026,1192344,"Keresztes Alajos,Keresztes Alajosné",Lajosmizse,város,Bács-Kiskun,16466,11662,4963,,,,,,,1,,,,,,
26332237-2-44,Aspect Energy Services Kft.,1026,Budapest,1920'25,"Kőolaj-feldolgozás, fosszilis tüzelőanyag-termékek gyártása",stoth@tdeservices.eu,139279903,8046458,"TDE Services Korlátolt Felelősségű Társaság,OGC Services Zártkörűen Működő Részévénytársaság,Horizon General Korlátolt Felelősségű Társaság",Budapest,főváros ,Budapest,52511,1685209,973656,1,1,1,1,1,1,1,1,1,1,1,,1
13851325-4-51,HungaroControl Zrt.,1185,Budapest,5223'25,Légi szállítást kiegészítő szolgáltatás,hivatalos.irat@hungarocontrol.hu,63683000,7831000,N7 Holding Nemzeti Védelmi Ipari Innovációs Zártkörűen Működő Részvénytársaság,Budapest,főváros ,Budapest,52511,1685209,973656,1,1,1,1,1,1,1,1,1,1,1,,1
27728967-2-44,United Collaborative Group Kft.,1062,Budapest,4650'25,"Információtechnológiai, híradástechnikai termék nagykereskedelme",adryanmangku@gmail.com,41054741,7786869,Mangkuningrat Adryan,Budapest,főváros ,Budapest,52511,1685209,973656,1,1,1,1,1,1,1,1,1,1,1,,1
23846085-2-43,AutoWallis Nyrt,1097,Budapest,6421'25,Vagyonkezelés (holding),info@autowallis.hu,2204000,7749000,"Wallis Tőkeholding Zrt.,Széchenyi Alapok Kockázati Tőkealap (korábban: Kárpát-medencei Vállalkozásfejlesztési Kockázati Tőke,Egyéb részvényesek (AutoWallis Nyrt.)",Budapest,főváros ,Budapest,52511,1685209,973656,1,1,1,1,1,1,1,1,1,1,1,,1
25087879-2-44,profession.hu Kft.,1123,Budapest,7312'25,Médiareklám,ugyfelszolgalat@profession.hu,15895328,7624481,Ringier Central and Eastern Europe AG,Budapest,főváros ,Budapest,52511,1685209,973656,1,1,1,1,1,1,1,1,1,1,1,,1
11310585-2-44,METAL HUNGÁRIA HOLDING Zrt.,1051,Budapest,4100'25,Lakó- és nem lakóépület építése,office@mhh.hu,62569698,7561655,"Kreinbacher Invest Zártkörűen Működő Részvénytársaság,Matthias Unger,Josef Unger",Budapest,főváros ,Budapest,52511,1685209,973656,1,1,1,1,1,1,1,1,1,1,1,,1
10883583-2-44,Mars Magyarország Kisállateledel Gyártó Kft.,1113,Budapest,1092'25,Hobbiállat-eledel gyártása,adam.mattyus@lakatoskoves.hu,93769163,7559231,Wrigley B.V.,Budapest,főváros ,Budapest,52511,1685209,973656,1,1,1,1,1,1,1,1,1,1,1,,1
25894352-2-41,VPP Project Kft.,1051,Budapest,6421'25,Vagyonkezelés (holding),andras.balogh@vppproject.hu,1147152,7537998,"Magyar Energiatermelő Holding Befektetési és Vagyonkezelő Zártkörűen Működő Részvénytársaság,VPP Invest Korlátolt Felelősségű Társaság,Familia Commissarium Korlátolt Felelősségű Társaság",Budapest,főváros ,Budapest,52511,1685209,973656,1,1,1,1,1,1,1,1,1,1,1,,1
25070842-2-17,D.C. THERM Üzemi Szolgáltató Kft.,7030,Paks,4322'25,"Víz-, gáz-, fűtés-, légkondicionáló-szerelés",,8485460,1188945,"V-Híd Vagyonkezelő Korlátolt Felelősségű Társaság,Mészáros Lőrinc",Paks,város,Tolna,15408,17873,8586,,,,,1,,1,,,,,,1
13914350-2-03,Hovány Prémium Automotive Kft.,6000,Kecskemét,4781'25,Gépjármű-kiskereskedelem,mester.laszlo@hovany.hu,44681906,1186054,"dr. Mester Zoltán László,Hovány Mercédesz,Hovány Márton,Hovány Márton",Kecskemét,"megyeszékhely, megyei jogú város",Bács-Kiskun,32257,108651,55648,1,,1,,1,1,1,,,,,,1
